Order #,Release Year,Rotten Tomatoes,Length (Minutes)
787,2001,79%,94
788,1999,31%,100
789,1995,88%,98
790,1980,73%,98
791,1981,,95
792,1989,,94
793,2016,90%,146
794,1942,99%,102
795,2012,,89
796,2003,,106
797,2015,,85
798,2022,85%,107
799,2008,61%,141
800,1974,98%,130
801,2014,,98
802,2006,34%,107
803,1971,86%,136
804,1986,17%,87
805,1985,68%,90
806,1997,75%,105
807,1995,76%,123
808,1988,9%,111
809,2021,75%,134
810,1989,84%,96
811,1989,85%,128
812,1990,0%,89
813,2013,,99
814,1997,65%,144
815,2007,,128
816,1989,92%,120
817,1965,82%,197
818,2001,41%,87
819,1996,48%,103
820,1989,85%,109
821,2010,85%,92
822,1969,84%,95
823,2015,,98
824,1999,64%,122
825,1990,90%,105
826,1998,71%,132
827,2020,91%,123
828,1999,40%,113
829,2018,52%,129
830,1996,62%,133
831,1989,97%,114
832,2004,82%,122
833,2011,77%,135
834,1989,88%,104
835,1997,55%,93
836,2000,74%,136
837,1980,83%,111
838,2009,,94
839,1981,69%,127
840,2024,,100
841,1991,69%,118
842,2021,80%,115
843,1980,68%,95
844,1963,97%,115
845,1987,90%,116
846,2009,69%,140
847,2008,51%,110
848,2012,70%,94
849,2017,91%,122
850,2022,91%,140
851,1989,29%,105
852,1990,,162
853,1993,26%,87
854,2008,81%,116
855,2024,98%,96
856,1997,,107
857,1978,97%,91
858,2008,63%,92
859,2009,79%,100
860,2011,71%,111
861,1991,76%,111
862,1987,48%,110
863,1995,84%,170
864,2007,88%,80
865,1952,94%,85
866,2005,68%,118
867,2012,75%,100
868,1998,73%,169
869,1956,,62
870,1990,94%,100
871,2000,49%,104
872,2015,,136
873,2013,,105
874,2013,92%,91
875,1997,74%,90
876,2008,,90
877,1993,34%,117
878,1996,69%,145
879,2008,77%,124
880,2016,72%,127
881,2009,80%,108
882,2015,59%,121
883,2013,34%,119
884,1994,65%,123
885,2014,,90
886,1989,28%,97
887,1991,85%,189
888,2003,33%,87
889,2017,77%,112
890,1993,91%,127
891,2017,,75
892,2020,76%,137
893,2021,90%,146
894,1996,51%,114
895,1991,46%,105
896,2019,80%,102
897,1986,41%,116
898,1988,24%,88
899,1984,,96
